zipcode,area_name,golf_course_name,why_historic
98118,"Columbia City, Seattle","Bill Wright Golf Complex (Jefferson Park)","One of Seattle's eight officially designated historic districts; well-preserved early-1900s streetcar commercial core and surrounding residential housing stock."
98144,"Mount Baker, Seattle","Bill Wright Golf Complex (Jefferson Park)","Olmsted-planned early-20th-century streetcar neighborhood with boulevards and period homes; directly adjacent to the historic 1915 golf course."
98108,"Beacon Hill, Seattle","Bill Wright Golf Complex (Jefferson Park)","Contains the Olmsted Brothers-designed Jefferson Park course (opened 1915), the first municipally owned golf course in Seattle; older Beacon Hill housing."
98107,"Ballard, Seattle","Interbay Golf Center","Ballard Avenue Historic District is on the National Register and is a designated Seattle landmark district; 19th/early-20th-century maritime townscape."
98116,"West Seattle (Admiral/Alki)","West Seattle Golf Course","Historic Admiral district and Alki Point, site of the 1851 Denny Party landing; older West Seattle homes."
98126,"West Seattle (Golf/Genesee)","West Seattle Golf Course","Adjacent ZIP containing the municipal course (opened 1940); established pre-war and mid-century neighborhoods."
98125,"Maple Leaf / North Seattle","Jackson Park Golf Course","Older north-Seattle housing stock near the historic Sand Point area; Jackson Park is a long-established municipal course (1930)."
98065,"Snoqualmie","Mount Si Golf Course","Historic downtown Snoqualmie and Snoqualmie Falls; National Register sites in the valley. TPC Snoqualmie Ridge also nearby."
98022,"Enumclaw","Enumclaw Golf Course","Historic early-1900s small-town downtown founded on logging and dairy; intact main-street character with its own municipal course."
98010,"Black Diamond","Lake Wilderness Golf Course (Maple Valley, 98038)","National Register-listed former coal-mining town with preserved historic district and museum; nearest course is in adjacent Maple Valley."
98011,"Bothell","Inglewood Golf Club (Kenmore, 98028)","Historic downtown Bothell with preserved Main Street buildings and Wayne area; nearest full course is Inglewood in adjacent Kenmore."
98005,"Bellevue","Bellevue Golf Course","Less a historic district than established mid-century Eastside character; Bellevue Municipal is a long-standing classic course (1930s origins)."
